GroupDescription,MigrYr,SpeciesCode,RearCode,RaceCode,SAR_Reach,JuvPop,SARwoJacks,SARwoJacks_LCI,SARwoJacks_UCI,SARwJacks,SARwJacks_LCI,SARwJacks_UCI
Imnaha River Wild Summer Chinook,2009,CH,W,Sum,Lower Granite Dam to Bonneville Dam,3161,2.44,2,2.9,2.66,2.2,3.12
Imnaha River Wild Steelhead A-Run,2009,ST,W,Sum,Lower Granite Dam to Bonneville Dam,2226,,,,5.08,4.35,5.91
Imnaha River Wild Steelhead A-Run,2009,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,2226,,,,3.64,2.96,4.33
Middle Fork Salmon River Wild Spring_Summer Chinook,2009,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,2629,1.14,0.8,1.47,1.56,1.17,1.95
Middle Fork Salmon River Wild Spring_Summer Chinook,2009,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,2629,1.56,1.16,1.94,1.98,1.54,2.44
Salmon River Wild Steelhead A-Run,2009,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1450,,,,3.1,2.37,3.85
Salmon River Wild Steelhead A-Run,2009,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1450,,,,1.93,1.36,2.54
South Fork Salmon River Wild Spring_Summer Chinook,2009,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,1895,1.37,0.97,1.83,1.53,1.1,2
South Fork Salmon River Wild Spring_Summer Chinook,2009,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,1895,1.85,1.36,2.37,2.01,1.5,2.55
Snake River Wild Fall Chinook,2009,CH,W,Fall,Lower Granite Dam to Lower Granite Dam,496,0.81,0.2,1.51,1.01,0.38,1.79
Snake River Wild Fall Chinook,2009,CH,W,Fall,Lower Granite Dam to Bonneville Dam,496,1.41,0.64,2.34,1.61,0.76,2.64
Upper Salmon River Wild Spring_Summer Chinook,2009,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,2110,1.56,1.12,2.02,1.61,1.17,2.08
Upper Salmon River Wild Spring_Summer Chinook,2009,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,2110,1.94,1.49,2.48,1.99,1.52,2.52
Snake River Wild Spring_Summer Chinook,2008,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,18531,2.75,2.56,2.94,3.24,3.04,3.46
Snake River Wild Spring_Summer Chinook,2008,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,18531,3.58,3.37,3.81,4.14,3.92,4.39
Snake River Wild Steelhead A-Run,2008,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1643,,,,2.56,1.9,3.21
Snake River Wild Steelhead A-Run,2008,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1643,,,,3.71,2.93,4.52
Snake River Wild Steelhead B-Run,2008,ST,W,Sum,Lower Granite Dam to Bonneville Dam,3539,,,,3.56,3.07,4.1
Snake River Wild Steelhead B-Run,2008,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,3539,,,,4.72,4.16,5.34
Snake River Wild Steelhead Aggregate,2008,ST,W,Sum,Lower Granite Dam to Bonneville Dam,5733,,,,4.36,3.91,4.82
Snake River Wild Steelhead Aggregate,2008,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,5733,,,,3.21,2.82,3.6
Clearwater River Wild Steelhead A-Run,2008,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,3524,,,,2.81,2.36,3.25
Clearwater River Wild Steelhead A-Run,2008,ST,W,Sum,Lower Granite Dam to Bonneville Dam,3524,,,,3.97,3.41,4.5
Clearwater River Wild Spring Chinook,2008,CH,W,Spr,Lower Granite Dam to Bonneville Dam,1136,1.76,1.16,2.46,1.94,1.3,2.69
Clearwater River Wild Spring Chinook,2008,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,1136,1.41,0.87,2.08,1.58,1.02,2.29
Grande Ronde River Wild Spring Chinook,2008,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,2393,2.92,2.31,3.5,3.26,2.64,3.87
Grande Ronde River Wild Spring Chinook,2008,CH,W,Spr,Lower Granite Dam to Bonneville Dam,2393,3.8,3.12,4.45,4.14,3.43,4.83
Grande Ronde River Wild Steelhead A-Run,2008,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,349,,,,3.44,1.86,4.99
Grande Ronde River Wild Steelhead A-Run,2008,ST,W,Sum,Lower Granite Dam to Bonneville Dam,349,,,,5.73,3.71,7.83
Imnaha River Wild Summer Chinook,2008,CH,W,Sum,Lower Granite Dam to Bonneville Dam,4034,3.89,3.39,4.39,4.74,4.2,5.31
Imnaha River Wild Summer Chinook,2008,CH,W,Sum,Lower Granite Dam to Lower Granite Dam,4034,2.83,2.41,3.25,3.55,3.07,4.02
Imnaha River Wild Steelhead A-Run,2008,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,2064,,,,5.17,1.79,9.16
Imnaha River Wild Steelhead A-Run,2008,ST,W,Sum,Lower Granite Dam to Bonneville Dam,2064,,,,5.57,2.14,9.59
Middle Fork Salmon River Wild Spring_Summer Chinook,2008,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,3006,3.53,2.96,4.11,4.12,3.53,4.74
Middle Fork Salmon River Wild Spring_Summer Chinook,2008,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,3006,2.96,2.47,3.49,3.49,2.95,4.04
Salmon River Wild Steelhead A-Run,2008,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1400,,,,5.14,4.15,6.18
Salmon River Wild Steelhead A-Run,2008,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1400,,,,6.36,5.25,7.48
South Fork Salmon River Wild Spring_Summer Chinook,2008,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,1614,4.83,3.94,5.75,5.82,4.85,6.8
South Fork Salmon River Wild Spring_Summer Chinook,2008,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,1614,3.9,3.12,4.71,4.77,3.93,5.64
Snake River Wild Fall Chinook,2008,CH,W,Fall,Lower Granite Dam to Bonneville Dam,301,2.32,0.96,3.81,3.32,1.69,5.11
Snake River Wild Fall Chinook,2008,CH,W,Fall,Lower Granite Dam to Lower Granite Dam,301,1.33,0.33,2.48,1.99,0.69,3.39
Upper Salmon River Wild Spring_Summer Chinook,2008,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,1612,3.91,3.1,4.72,4.09,3.29,4.89
Upper Salmon River Wild Spring_Summer Chinook,2008,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,1612,2.73,2.01,3.41,2.85,2.1,3.53
Snake River Wild Spring_Summer Chinook,2007,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,14953,0.98,0.84,1.11,1.09,0.95,1.23
Snake River Wild Spring_Summer Chinook,2007,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,14953,1.16,1.01,1.29,1.27,1.11,1.41
Snake River Wild Steelhead A-Run,2007,ST,W,Sum,Lower Granite Dam to Bonneville Dam,4496,,,,3.29,2.84,3.74
Snake River Wild Steelhead A-Run,2007,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,4496,,,,4.27,3.73,4.76
Snake River Wild Steelhead B-Run,2007,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1855,,,,1.4,0.95,1.84
Snake River Wild Steelhead B-Run,2007,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1855,,,,1.78,1.26,2.27
Snake River Wild Steelhead Aggregate,2007,ST,W,Sum,Lower Granite Dam to Bonneville Dam,7076,,,,3.31,2.95,3.65
Snake River Wild Steelhead Aggregate,2007,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,7076,,,,2.57,2.26,2.88
Clearwater River Wild Steelhead A-Run,2007,ST,W,Sum,Lower Granite Dam to Bonneville Dam,2253,,,,1.51,1.08,1.94
Clearwater River Wild Steelhead A-Run,2007,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,2253,,,,1.15,0.78,1.56
Clearwater River Wild Spring Chinook,2007,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,576,0.87,0.33,1.59,0.87,0.33,1.59
Clearwater River Wild Spring Chinook,2007,CH,W,Spr,Lower Granite Dam to Bonneville Dam,576,1.04,0.36,1.83,1.04,0.36,1.83
Grande Ronde River Wild Spring Chinook,2007,CH,W,Spr,Lower Granite Dam to Bonneville Dam,2687,1.49,1.14,1.9,1.71,1.35,2.13
Grande Ronde River Wild Spring Chinook,2007,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,2687,1.15,0.84,1.5,1.38,1.04,1.74
Grande Ronde River Wild Steelhead A-Run,2007,ST,W,Sum,Lower Granite Dam to Bonneville Dam,423,,,,4.96,3.2,6.67
Grande Ronde River Wild Steelhead A-Run,2007,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,423,,,,4.49,2.87,6.15
Imnaha River Wild Summer Chinook,2007,CH,W,Sum,Lower Granite Dam to Lower Granite Dam,4112,0.63,0.43,0.83,0.78,0.55,1
Imnaha River Wild Summer Chinook,2007,CH,W,Sum,Lower Granite Dam to Bonneville Dam,4112,0.71,0.5,0.93,0.88,0.63,1.11
Imnaha River Wild Steelhead A-Run,2007,ST,W,Sum,Lower Granite Dam to Bonneville Dam,3588,,,,4.13,3.56,4.71
Imnaha River Wild Steelhead A-Run,2007,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,3588,,,,3.09,2.61,3.58
Middle Fork Salmon River Wild Spring_Summer Chinook,2007,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,342,0.59,0,1.25,0.59,0,1.25
Middle Fork Salmon River Wild Spring_Summer Chinook,2007,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,342,1.17,0.28,2.1,1.17,0.28,2.1
Salmon River Wild Steelhead A-Run,2007,ST,W,Sum,Lower Granite Dam to Bonneville Dam,816,,,,3.8,2.73,4.88
Salmon River Wild Steelhead A-Run,2007,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,816,,,,3.19,2.23,4.19
South Fork Salmon River Wild Spring_Summer Chinook,2007,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,2121,1.41,1.01,1.86,1.46,1.04,1.93
South Fork Salmon River Wild Spring_Summer Chinook,2007,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,2121,1.6,1.14,2.06,1.65,1.18,2.12
Upper Salmon River Wild Spring_Summer Chinook,2007,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,1977,0.96,0.61,1.34,0.96,0.61,1.34
Upper Salmon River Wild Spring_Summer Chinook,2007,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,1977,1.01,0.65,1.39,1.01,0.65,1.39
Snake River Wild Spring_Summer Chinook,2006,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,15283,0.69,0.58,0.8,0.74,0.63,0.85
Snake River Wild Spring_Summer Chinook,2006,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,15283,0.84,0.72,0.95,0.89,0.76,1.01
Snake River Wild Steelhead A-Run,2006,ST,W,Sum,Lower Granite Dam to Bonneville Dam,2378,,,,1.43,1.03,1.84
Snake River Wild Steelhead A-Run,2006,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,2378,,,,2.61,2.04,3.14
Snake River Wild Steelhead B-Run,2006,ST,W,Sum,Lower Granite Dam to Bonneville Dam,3056,,,,0.92,0.65,1.24
Snake River Wild Steelhead B-Run,2006,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,3056,,,,1.34,1,1.71
Snake River Wild Steelhead Aggregate,2006,ST,W,Sum,Lower Granite Dam to Bonneville Dam,5441,,,,1.89,1.59,2.21
Snake River Wild Steelhead Aggregate,2006,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,5441,,,,1.14,0.9,1.38
Clearwater River Wild Steelhead A-Run,2006,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,2748,,,,0.8,0.53,1.1
Clearwater River Wild Steelhead A-Run,2006,ST,W,Sum,Lower Granite Dam to Bonneville Dam,2748,,,,1.24,0.89,1.6
Clearwater River Wild Spring Chinook,2006,CH,W,Spr,Lower Granite Dam to Bonneville Dam,1787,0.39,0.17,0.63,0.45,0.22,0.71
Clearwater River Wild Spring Chinook,2006,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,1787,0.28,0.11,0.5,0.34,0.11,0.57
Grande Ronde River Wild Spring Chinook,2006,CH,W,Spr,Lower Granite Dam to Lower Granite Dam,3466,0.87,0.61,1.11,0.92,0.68,1.18
Grande Ronde River Wild Spring Chinook,2006,CH,W,Spr,Lower Granite Dam to Bonneville Dam,3466,1.04,0.77,1.31,1.1,0.83,1.38
Grande Ronde River Wild Steelhead A-Run,2006,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,557,,,,1.62,0.75,2.49
Grande Ronde River Wild Steelhead A-Run,2006,ST,W,Sum,Lower Granite Dam to Bonneville Dam,557,,,,3.59,2.32,4.9
Imnaha River Wild Summer Chinook,2006,CH,W,Sum,Lower Granite Dam to Bonneville Dam,729,0.69,0.27,1.23,0.82,0.28,1.42
Imnaha River Wild Summer Chinook,2006,CH,W,Sum,Lower Granite Dam to Lower Granite Dam,729,0.69,0.27,1.23,0.69,0.27,1.23
Imnaha River Wild Steelhead A-Run,2006,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,1694,,,,1.24,0.82,1.67
Imnaha River Wild Steelhead A-Run,2006,ST,W,Sum,Lower Granite Dam to Bonneville Dam,1694,,,,2.18,1.59,2.78
Middle Fork Salmon River Wild Spring_Summer Chinook,2006,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,259,0.39,0,1.15,0.39,0,1.15
Middle Fork Salmon River Wild Spring_Summer Chinook,2006,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,259,0.39,0,1.15,0.39,0,1.15
Salmon River Wild Steelhead A-Run,2006,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,637,,,,1.57,0.77,2.36
Salmon River Wild Steelhead A-Run,2006,ST,W,Sum,Lower Granite Dam to Bonneville Dam,637,,,,1.88,1.04,2.73
South Fork Salmon River Wild Spring_Summer Chinook,2006,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,1282,0.94,0.54,1.4,0.94,0.54,1.4
South Fork Salmon River Wild Spring_Summer Chinook,2006,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,1282,0.86,0.47,1.3,0.86,0.47,1.3
Snake River Wild Fall Chinook,2006,CH,W,Fall,Lower Granite Dam to Lower Granite Dam,371,0.27,0,0.74,0.27,0,0.74
Snake River Wild Fall Chinook,2006,CH,W,Fall,Lower Granite Dam to Bonneville Dam,371,1.08,0.27,2.06,1.08,0.27,2.06
Upper Salmon River Wild Spring_Summer Chinook,2006,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,2883,0.66,0.43,0.9,0.69,0.45,0.95
Upper Salmon River Wild Spring_Summer Chinook,2006,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,2883,0.52,0.32,0.74,0.55,0.35,0.78
Snake River Wild Spring_Summer Chinook,2005,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,35215,0.22,0.17,0.28,0.23,0.18,0.29
Snake River Wild Spring_Summer Chinook,2005,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,35215,0.29,0.23,0.35,0.3,0.24,0.37
Snake River Wild Steelhead Aggregate,2005,ST,W,Sum,Lower Granite Dam to Bonneville Dam,15132,,,,1,0.8,1.23
Snake River Wild Steelhead Aggregate,2005,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,15132,,,,0.79,0.6,1
Snake River Wild Spring_Summer Chinook,2004,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,32542,0.68,0.57,0.8,0.69,0.58,0.81
Snake River Wild Spring_Summer Chinook,2004,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,32542,0.52,0.43,0.62,0.54,0.44,0.64
Snake River Wild Steelhead Aggregate,2004,ST,W,Sum,Lower Granite Dam to Bonneville Dam,13276,,,,1.31,1.06,1.57
Snake River Wild Steelhead Aggregate,2004,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,13276,,,,0.85,0.64,1.07
Snake River Wild Spring_Summer Chinook,2003,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,31082,0.35,0.27,0.43,0.35,0.27,0.43
Snake River Wild Spring_Summer Chinook,2003,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,31082,0.34,0.26,0.43,0.34,0.26,0.43
Snake River Wild Steelhead Aggregate,2003,ST,W,Sum,Lower Granite Dam to Bonneville Dam,12877,,,,1.87,1.47,2.27
Snake River Wild Steelhead Aggregate,2003,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,12877,,,,1.57,1.22,1.95
Snake River Wild Spring_Summer Chinook,2002,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,23384,0.91,0.75,1.08,1.03,0.85,1.22
Snake River Wild Spring_Summer Chinook,2002,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,23384,1.14,0.95,1.34,1.29,1.08,1.51
Snake River Wild Steelhead Aggregate,2002,ST,W,Sum,Lower Granite Dam to Bonneville Dam,13484,,,,2.52,1.44,3.79
Snake River Wild Steelhead Aggregate,2002,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,13484,,,,2.08,1.07,3.17
Snake River Wild Spring_Summer Chinook,2001,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,22417,1.86,0.97,2.88,2.04,1.13,3.13
Snake River Wild Spring_Summer Chinook,2001,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,22417,1.28,0.55,2.12,1.49,0.72,2.38
Snake River Wild Steelhead Aggregate,2001,ST,W,Sum,Lower Granite Dam to Bonneville Dam,12951,,,,4,1.9,6.53
Snake River Wild Steelhead Aggregate,2001,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,12951,,,,2.5,0.95,4.49
Snake River Wild Spring_Summer Chinook,2000,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,25026,1.68,1.22,2.18,1.69,1.23,2.19
Snake River Wild Spring_Summer Chinook,2000,CH,W,SpSu,Lower Granite Dam to Bonneville Dam,25026,2.59,1.97,3.22,2.69,2.05,3.35
Snake River Wild Steelhead Aggregate,2000,ST,W,Sum,Lower Granite Dam to Bonneville Dam,13659,,,,3.01,1.83,4.19
Snake River Wild Steelhead Aggregate,2000,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,13659,,,,2.67,1.6,3.85
Snake River Wild Spring_Summer Chinook,1999,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,33661,2.39,1.87,2.93,2.55,2.02,3.08
Snake River Wild Steelhead Aggregate,1999,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,8873,,,,2.75,1.58,4.04
Snake River Wild Spring_Summer Chinook,1998,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,17377,1.21,0.84,1.66,1.25,0.87,1.7
Snake River Wild Steelhead Aggregate,1998,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,7162,,,,0.3,0.06,0.71
Snake River Wild Spring_Summer Chinook,1997,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,2902,1.72,0.98,2.6,1.77,1.01,2.67
Snake River Wild Steelhead Aggregate,1997,ST,W,Sum,Lower Granite Dam to Lower Granite Dam,3857,,,,1.07,0.35,1.91
Snake River Wild Spring_Summer Chinook,1996,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,7881,0.42,0.06,0.87,0.42,0.06,0.87
Snake River Wild Spring_Summer Chinook,1995,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,20198,0.35,0.2,0.52,0.35,0.2,0.52
Snake River Wild Spring_Summer Chinook,1994,CH,W,SpSu,Lower Granite Dam to Lower Granite Dam,15260,0.57,0.29,0.92,0.63,0.32,0.99
John Day River Wild Spring Chinook,2021,CH,W,Spr,John Day Dam to Bonneville Dam,3316,2.38,1.42,3.52,2.59,1.54,3.84
Yakima River Wild Spring Chinook,2021,CH,W,Spr,McNary Dam to Bonneville Dam,1302,1.15,0.54,1.99,1.46,0.69,2.5
Yakima River Wild Spring Chinook,2021,CH,W,Spr,McNary Dam to McNary Dam,1302,1.08,0.5,1.9,1.46,0.7,2.49
John Day River Wild Spring Chinook,2020,CH,W,Spr,John Day Dam to Bonneville Dam,1628,4.24,2.97,5.56,5.1,3.55,6.59
John Day River Wild Steelhead,2020,ST,W,Sum,John Day Dam to Bonneville Dam,3531,,,,1.9,1.41,2.36
Yakima River Wild Spring Chinook,2020,CH,W,Spr,McNary Dam to Bonneville Dam,857,2.57,1.42,3.71,3.03,1.73,4.41
Yakima River Wild Spring Chinook,2020,CH,W,Spr,McNary Dam to McNary Dam,857,2.45,1.31,3.61,2.92,1.66,4.29
Umatilla River Wild Steelhead,2020,ST,W,Sum,John Day Dam to Bonneville Dam,5605,,,,2.46,2.04,2.94
Yakima River Wild Steelhead,2020,ST,W,Sum,McNary Dam to Bonneville Dam,319,,,,3.13,0.49,5.2
Yakima River Wild Steelhead,2020,ST,W,Sum,McNary Dam to McNary Dam,319,,,,3.44,0.55,5.64
Deschutes River Wild Steelhead,2019,ST,W,Sum,Bonneville Dam to Bonneville Dam,135,,,,0,0,2.19
Hanford Reach Wild Fall Chinook,2019,CH,W,Fall,McNary Dam to Bonneville Dam,2446,0.78,0.38,1.27,0.78,0.38,1.27
Hanford Reach Wild Fall Chinook,2019,CH,W,Fall,Release Site to Bonneville Dam,9989,0.19,0.12,0.28,0.19,0.12,0.26
John Day River Wild Spring Chinook,2019,CH,W,Spr,John Day Dam to Bonneville Dam,1087,1.56,0.9,2.28,2.02,1.24,2.92
John Day River Wild Steelhead,2019,ST,W,Sum,John Day Dam to Bonneville Dam,2262,,,,0.57,0.31,0.86
Yakima River Wild Spring Chinook,2019,CH,W,Spr,McNary Dam to Bonneville Dam,780,2.18,1.3,3.12,2.57,1.58,3.62
Yakima River Wild Spring Chinook,2019,CH,W,Spr,McNary Dam to McNary Dam,780,1.8,1.01,2.66,2.18,1.34,3.15
Umatilla River Wild Steelhead,2019,ST,W,Sum,John Day Dam to Bonneville Dam,1964,,,,0.1,0,0.24
Yakima River Wild Steelhead,2019,ST,W,Sum,McNary Dam to Bonneville Dam,205,,,,0.49,0,1.46
Yakima River Wild Steelhead,2019,ST,W,Sum,McNary Dam to McNary Dam,205,,,,0.49,0,1.46
Deschutes River Wild Steelhead,2018,ST,W,Sum,Bonneville Dam to Bonneville Dam,215,,,,9.32,3.61,17.65
Hanford Reach Wild Fall Chinook,2018,CH,W,Fall,McNary Dam to Bonneville Dam,2426,1.52,1,2.06,1.52,1,2.06
Hanford Reach Wild Fall Chinook,2018,CH,W,Fall,Release Site to Bonneville Dam,9987,0.37,0.28,0.49,0.37,0.28,0.49
John Day River Wild Spring Chinook,2018,CH,W,Spr,John Day Dam to Bonneville Dam,2610,2.34,1.82,2.92,2.68,2.12,3.32
John Day River Wild Steelhead,2018,ST,W,Sum,John Day Dam to Bonneville Dam,2249,,,,4.05,3.13,5.01
Yakima River Wild Spring Chinook,2018,CH,W,Spr,McNary Dam to Bonneville Dam,474,1.05,0.38,1.86,1.05,0.38,1.86
Yakima River Wild Spring Chinook,2018,CH,W,Spr,McNary Dam to McNary Dam,474,0.84,0.21,1.6,0.84,0.21,1.6
Umatilla River Wild Steelhead,2018,ST,W,Sum,John Day Dam to Bonneville Dam,2864,,,,1.89,1.39,2.37
Yakima River Wild Steelhead,2018,ST,W,Sum,McNary Dam to Bonneville Dam,640,,,,1.56,0.46,4.6
Yakima River Wild Steelhead,2018,ST,W,Sum,McNary Dam to McNary Dam,640,,,,1.09,0.33,3.28
Deschutes River Wild Fall Chinook,2017,CH,W,Fall,Bonneville Dam to Bonneville Dam,5419,1.13,0.67,1.67,1.44,0.85,2.07
Deschutes River Wild Fall Chinook,2017,CH,W,Fall,Release Site to Bonneville Dam,24526,0.25,0.2,0.31,0.32,0.26,0.38
Deschutes River Wild Steelhead,2017,ST,W,Sum,Bonneville Dam to Bonneville Dam,1914,,,,2.25,1.19,3.51
Hanford Reach Wild Fall Chinook,2017,CH,W,Fall,McNary Dam to Bonneville Dam,2968,0.51,0.29,0.74,0.51,0.29,0.74
Hanford Reach Wild Fall Chinook,2017,CH,W,Fall,Release Site to Bonneville Dam,9989,0.15,0.09,0.23,0.15,0.09,0.23
John Day River Wild Spring Chinook,2017,CH,W,Spr,John Day Dam to Bonneville Dam,2833,0.92,0.64,1.24,1.31,0.97,1.68
John Day River Wild Steelhead,2017,ST,W,Sum,John Day Dam to Bonneville Dam,1551,,,,2.58,1.83,3.31
Yakima River Wild Spring Chinook,2017,CH,W,Spr,McNary Dam to Bonneville Dam,464,1.29,0.48,2.24,1.72,0.76,2.8
Yakima River Wild Spring Chinook,2017,CH,W,Spr,McNary Dam to McNary Dam,464,1.08,0.36,1.97,1.51,0.63,2.51
Umatilla River Wild Steelhead,2017,ST,W,Sum,John Day Dam to Bonneville Dam,3958,,,,1.72,1.36,2.07
Yakima River Wild Steelhead,2017,ST,W,Sum,McNary Dam to Bonneville Dam,186,,,,2.69,0.78,4.85
Yakima River Wild Steelhead,2017,ST,W,Sum,McNary Dam to McNary Dam,186,,,,1.62,0.31,3.4
Deschutes River Wild Fall Chinook,2016,CH,W,Fall,Release Site to Bonneville Dam,24492,0.1,0.07,0.14,0.15,0.11,0.19
Deschutes River Wild Fall Chinook,2016,CH,W,Fall,Bonneville Dam to Bonneville Dam,3676,0.68,0.32,1.15,0.98,0.49,1.6
Deschutes River Wild Steelhead,2016,ST,W,Sum,Bonneville Dam to Bonneville Dam,659,,,,5.16,3.28,7.05
Hanford Reach Wild Fall Chinook,2016,CH,W,Fall,Release Site to Bonneville Dam,9926,0.12,0.07,0.18,0.13,0.08,0.2
Hanford Reach Wild Fall Chinook,2016,CH,W,Fall,McNary Dam to Bonneville Dam,4968,0.24,0.12,0.4,0.26,0.13,0.44
John Day River Wild Spring Chinook,2016,CH,W,Spr,John Day Dam to Bonneville Dam,2243,2.1,1.56,2.62,2.63,2.02,3.25
John Day River Wild Steelhead,2016,ST,W,Sum,John Day Dam to Bonneville Dam,1113,,,,5.39,4.09,6.75
Yakima River Wild Spring Chinook,2016,CH,W,Spr,McNary Dam to Bonneville Dam,241,0.41,0,1.23,0.41,0,1.23
Yakima River Wild Spring Chinook,2016,CH,W,Spr,McNary Dam to McNary Dam,241,0.41,0,1.23,0.41,0,1.23
Umatilla River Wild Steelhead,2016,ST,W,Sum,John Day Dam to Bonneville Dam,3536,,,,2.63,2.09,3.18
Yakima River Wild Steelhead,2016,ST,W,Sum,McNary Dam to McNary Dam,308,,,,3.25,1.28,5.88
Yakima River Wild Steelhead,2016,ST,W,Sum,McNary Dam to Bonneville Dam,308,,,,3.25,1.28,5.88
Deschutes River Wild Fall Chinook,2015,CH,W,Fall,Bonneville Dam to Bonneville Dam,4578,0.17,0.07,0.31,0.24,0.1,0.41
Deschutes River Wild Fall Chinook,2015,CH,W,Fall,Release Site to Bonneville Dam,24930,0.03,0.02,0.06,0.04,0.02,0.07
Deschutes River Wild Steelhead,2015,ST,W,Sum,Bonneville Dam to Bonneville Dam,664,,,,1.81,0.97,2.8
Hanford Reach Wild Fall Chinook,2015,CH,W,Fall,McNary Dam to Bonneville Dam,4389,0.05,0,0.14,0.05,0,0.14
Hanford Reach Wild Fall Chinook,2015,CH,W,Fall,Release Site to Bonneville Dam,4965,0.04,0,0.08,0.04,0,0.08
John Day River Wild Spring Chinook,2015,CH,W,Spr,John Day Dam to Bonneville Dam,988,3.54,2.36,4.65,5.37,3.7,6.87
John Day River Wild Steelhead,2015,ST,W,Sum,John Day Dam to Bonneville Dam,1561,,,,1.79,1.16,2.36
